Respondent,DFCS,Education,Annual Income,Age of Bld,Period of living,State of Security,Rent p.a,Dist. to work,Dist to place of worship,Dist to shopping,Avail. Of Electricty,Avail. Of Water,Gd. Rd netwk,Avail of Area security,Awareness of d groove,Awareness of gov regulation,Bad Experience due to groove,Ready to relocate?,SEX_M,House Types_3bedrm,House Types_Others,House Types_Tenement,State of Exterior_Good,State of Interior_Good,Nature of Experien_Kidnapping,"Nature of Experien_Others(beating,robbery",Nature of Experien_Rituals,Attitude living close_Indifferent,Attitude living close_Not Comfortable,Reason for living close_Low rent,Reason for living close_No Reason,Reason for living close_Vaccancy possibility,Why u wont build close to site_Env. Characteristics,Why u wont build close to site_Infrastructural Fcailities,Why u wont build close to site_Religious rites,Why u wont build close to site_low rent,Employment_pd employment,Employment_retired,Employment_self employed
99,6,2,0,3,1,3,2,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
100,6,2,0,3,2,3,2,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
101,6,2,0,3,2,3,2,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
102,6,2,0,3,2,3,3,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
103,6,2,6,3,2,3,3,1,1,2,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
104,6,2,6,3,2,3,3,1,1,2,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
105,6,2,6,3,2,3,3,1,1,2,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
106,6,2,6,3,2,3,3,1,1,2,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
107,6,3,6,2,2,3,3,1,1,2,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
108,6,3,6,2,2,3,3,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
109,6,3,6,2,2,3,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
110,6,3,6,2,2,3,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
111,6,3,6,2,2,3,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
112,6,3,6,2,2,2,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
113,6,4,6,2,2,2,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
114,6,4,6,2,2,2,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
115,6,4,6,2,2,2,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
116,6,4,6,2,2,2,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
117,6,4,6,2,2,2,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
118,6,4,6,2,2,2,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
119,6,4,6,1,2,2,4,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
120,6,4,5,1,2,2,4,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
121,8,0,3,3,1,4,1,2,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
122,8,0,3,3,1,4,1,2,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
